"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2025","506,05","509,49","509,89","503,45","","-0,68%"
"01.01.2025","509,49","509,74","510,28","501,11","","0,56%"
"01.12.2024","506,66","508,05","516,28","501,36","","0,42%"
"01.11.2024","504,56","512,34","513,78","507,28","","-1,07%"
"01.10.2024","510,00","519,93","521,94","512,08","","-1,33%"
"01.09.2024","516,86","518,83","526,56","514,89","","0,22%"
"01.08.2024","515,75","524,41","531,00","517,85","","-1,07%"
"01.07.2024","521,33","528,16","534,63","520,50","","-0,41%"
"01.06.2024","523,47","521,01","532,97","517,83","","0,66%"
"01.05.2024","520,02","510,24","525,73","503,93","","1,92%"
"01.04.2024","510,24","502,46","510,24","499,50","","2,17%"
"01.03.2024","499,39","512,03","515,68","500,00","","-1,90%"
"01.02.2024","509,05","512,86","521,17","510,99","","-0,72%"
"01.01.2024","512,73","519,61","524,06","511,03","","-1,25%"
"01.12.2023","519,22","529,75","535,00","518,57","","-1,76%"
"01.11.2023","528,50","530,96","536,59","528,22","","-0,18%"
"01.10.2023","529,47","534,70","539,16","529,25","","-0,33%"
"01.09.2023","531,25","539,20","542,50","529,38","","-1,25%"
"01.08.2023","537,95","544,83","546,07","532,34","","-0,94%"
"01.07.2023","543,05","546,21","553,53","535,59","","0,24%"
"01.06.2023","541,75","539,47","546,78","536,83","","0,67%"
"01.05.2023","538,15","543,46","547,50","533,88","","-0,43%"
"01.04.2023","540,50","543,28","544,14","531,12","","0,39%"
"01.03.2023","538,40","558,35","560,20","539,60","","-2,99%"
"01.02.2023","555,00","551,54","584,00","551,41","","0,90%"
"01.01.2023","550,03","597,24","598,08","551,41","","-6,99%"
"01.12.2022","591,36","596,56","606,00","579,10","","-0,67%"
"01.11.2022","595,38","615,17","628,00","596,03","","-2,89%"
"01.10.2022","613,10","625,57","638,06","613,00","","-1,81%"
"01.09.2022","624,38","640,03","662,50","625,57","","-2,34%"
"01.08.2022","639,35","671,42","673,50","631,11","","-4,12%"
"01.07.2022","666,83","685,86","691,61","668,23","","-2,59%"
"01.06.2022","684,58","682,78","696,38","682,06","","0,45%"
