Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
01.08.2025;505,29;505,29;506,75;504,84;;0,00%
31.07.2025;505,29;505,29;506,77;504,85;;0,00%
30.07.2025;505,29;505,52;506,91;504,56;;-0,05%
29.07.2025;505,52;505,33;508,14;504,56;;0,04%
28.07.2025;505,33;505,16;508,61;505,15;;0,03%
25.07.2025;505,16;505,16;508,14;504,49;;0,00%
24.07.2025;505,16;504,79;506,61;504,39;;0,07%
23.07.2025;504,79;505,17;506,2;503,09;;-0,08%
22.07.2025;505,17;504,33;505,67;502,59;;0,17%
21.07.2025;504,33;504,61;505,31;502,59;;-0,06%
18.07.2025;504,61;504,61;505,28;503,44;;0,00%
17.07.2025;504,61;504,61;505,08;502,5;;0,00%
16.07.2025;504,61;504,61;504,8;502,22;;0,00%
15.07.2025;504,61;504,33;505,47;502,22;;-0,03%
14.07.2025;504,76;504,75;505,39;504,23;;0,00%
11.07.2025;504,75;504,34;506,72;503,5;;0,08%
10.07.2025;504,34;504,34;506,5;503,28;;0,00%
09.07.2025;504,34;504,35;506,52;503,01;;0,00%
08.07.2025;504,35;505,54;507,52;503,31;;-0,24%
07.07.2025;505,54;505,04;507,27;504,07;;0,10%
04.07.2025;505,04;505,04;505,85;504,57;;0,00%
03.07.2025;505,04;504,83;506,35;504,53;;0,04%
02.07.2025;504,83;505,21;506,41;502,5;;-0,08%
01.07.2025;505,21;504,79;506,54;502,5;;0,08%
30.06.2025;504,79;504,71;505,88;502,5;;0,02%
27.06.2025;504,71;504,34;506,65;502,5;;0,07%
26.06.2025;504,34;504,96;506,68;502,5;;-0,12%
25.06.2025;504,96;505,71;507,55;502,5;;-0,15%
24.06.2025;505,71;506,21;508,28;502,5;;-0,10%
23.06.2025;506,21;505,25;508,57;502,5;;0,19%
20.06.2025;505,25;504,85;506,42;502,5;;0,08%
19.06.2025;504,85;504,77;506,06;502,5;;0,02%
18.06.2025;504,77;505,28;505,92;502,38;;-0,10%
17.06.2025;505,28;503,58;505,3;502,11;;0,34%
16.06.2025;503,58;504,08;504,29;502,25;;-0,10%
13.06.2025;504,08;504,08;507,98;502,75;;0,00%
12.06.2025;504,08;506,64;508,9;503,21;;-0,51%
11.06.2025;506,64;508,01;508,9;504,48;;-0,27%
10.06.2025;508,01;508,38;508,9;506,01;;-0,07%
09.06.2025;508,38;509,78;510,95;506,98;;-0,27%
06.06.2025;509,78;509,78;510,93;507,22;;0,00%
05.06.2025;509,78;508,93;509,98;505,22;;0,17%
04.06.2025;508,93;508,63;509,71;507,94;;0,06%
03.06.2025;508,63;509,01;509,41;505,89;;-0,07%
02.06.2025;509,01;507,6;509,03;505,89;;0,28%
30.05.2025;507,6;508,05;508,66;506,65;;-0,09%
29.05.2025;508,05;509,09;509,82;507,76;;-0,20%
28.05.2025;509,09;508,33;510,18;507,1;;0,15%
27.05.2025;508,33;508,69;509,89;507,44;;-0,07%
26.05.2025;508,69;507,6;509,89;507,23;;0,21%
23.05.2025;507,6;508,65;509,89;506,23;;-0,21%
22.05.2025;508,65;508,26;509,15;504,29;;0,08%
21.05.2025;508,26;506,97;508,76;502,32;;0,25%
20.05.2025;506,97;506,02;507,48;502,32;;0,19%
19.05.2025;506,02;506,04;509,51;501,94;;0,00%
16.05.2025;506,04;506,55;509,51;501,97;;-0,10%
15.05.2025;506,55;507,35;507,9;504,15;;-0,16%
14.05.2025;507,35;507,9;507,9;504,88;;-0,11%
13.05.2025;507,9;508,13;508,13;504,48;;-0,05%
12.05.2025;508,13;507,85;509,08;503,98;;0,06%
09.05.2025;507,85;507,6;509,58;505,26;;0,05%
08.05.2025;507,6;508,24;508,73;507,13;;-0,13%
07.05.2025;508,24;507,8;508,66;504,49;;0,43%
06.05.2025;506,07;505,03;506,14;503,98;;0,21%
05.05.2025;505,03;505,76;506,29;503,98;;-0,14%
02.05.2025;505,76;505,76;506,42;504,84;;0,00%
01.05.2025;505,76;505,32;506,42;504,62;;0,07%
30.04.2025;505,43;505,68;506,38;504,6;;-0,05%
29.04.2025;505,68;505,44;506,53;504,75;;0,01%
28.04.2025;505,65;506,98;507,03;504,75;;-0,26%
